Species,Abbreviation,Climatic type,Subfamily,C3/C4,decimalLatitude,decimalLongitude
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.38,0.11
Andropogon chinensis,Ach,tropical,Panicoideae,C4,11.05,-0.19
Andropogon chinensis,Ach,tropical,Panicoideae,C4,8.2,0.18
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.52,-1.59
Andropogon chinensis,Ach,tropical,Panicoideae,C4,9.23,-1.59
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.49,-1.29
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.42,-2.47
Andropogon chinensis,Ach,tropical,Panicoideae,C4,8.52,0.06
Andropogon chinensis,Ach,tropical,Panicoideae,C4,9.05,-1.49
Andropogon chinensis,Ach,tropical,Panicoideae,C4,6.405,0.4
Andropogon chinensis,Ach,tropical,Panicoideae,C4,9.12,-2.13
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.52,-0.37
Andropogon chinensis,Ach,tropical,Panicoideae,C4,9,0.32
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.48,-1.29
Andropogon chinensis,Ach,tropical,Panicoideae,C4,7.46,0.03
Andropogon chinensis,Ach,tropical,Panicoideae,C4,11.05,-0.19
Andropogon chinensis,Ach,tropical,Panicoideae,C4,9.25,-1.59
Andropogon chinensis,Ach,tropical,Panicoideae,C4,9.03,0.32
Andropogon chinensis,Ach,tropical,Panicoideae,C4,8.36,0.31
Andropogon chinensis,Ach,tropical,Panicoideae,C4,9.25,0.01
Andropogon chinensis,Ach,tropical,Panicoideae,C4,5.39,0.11
Andropogon chinensis,Ach,tropical,Panicoideae,C4,5.08,1.21
Andropogon chinensis,Ach,tropical,Panicoideae,C4,5.4,0.06
Andropogon chinensis,Ach,tropical,Panicoideae,C4,8.1,0.05
Andropogon chinensis,Ach,tropical,Panicoideae,C4,8.47,-1.28
Andropogon chinensis,Ach,tropical,Panicoideae,C4,8.3,0.17
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.48,-1.29
Andropogon chinensis,Ach,tropical,Panicoideae,C4,8.15,-2.17
Andropogon chinensis,Ach,tropical,Panicoideae,C4,8,0.1
Andropogon chinensis,Ach,tropical,Panicoideae,C4,5.33,0.13
Andropogon chinensis,Ach,tropical,Panicoideae,C4,6.19,0.05
Andropogon chinensis,Ach,tropical,Panicoideae,C4,9.12,-2.13
Andropogon chinensis,Ach,tropical,Panicoideae,C4,5.4,0.06
Andropogon chinensis,Ach,tropical,Panicoideae,C4,7.46,0.03
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.38,0.11
Andropogon chinensis,Ach,tropical,Panicoideae,C4,-20.55,46.8
Andropogon chinensis,Ach,tropical,Panicoideae,C4,-20.55,46.8
Andropogon chinensis,Ach,tropical,Panicoideae,C4,-20.556639,46.688806
Andropogon chinensis,Ach,tropical,Panicoideae,C4,9.9,1.1
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.3,0.5
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.9,0.2
Andropogon chinensis,Ach,tropical,Panicoideae,C4,9.9,1.1
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.3,0.5
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.9,0.2
Andropogon chinensis,Ach,tropical,Panicoideae,C4,-3.266667,17.366667
Andropogon chinensis,Ach,tropical,Panicoideae,C4,7.761058,2.380145
Andropogon chinensis,Ach,tropical,Panicoideae,C4,7.787771,2.406852
Andropogon chinensis,Ach,tropical,Panicoideae,C4,7.781779,2.412107
Andropogon chinensis,Ach,tropical,Panicoideae,C4,7.780733,2.394065
Andropogon chinensis,Ach,tropical,Panicoideae,C4,7.781779,2.412107
Andropogon chinensis,Ach,tropical,Panicoideae,C4,7.780849,2.386259
Andropogon chinensis,Ach,tropical,Panicoideae,C4,7.782654,2.398925
Andropogon chinensis,Ach,tropical,Panicoideae,C4,7.777823,2.412113
Andropogon chinensis,Ach,tropical,Panicoideae,C4,7.777823,2.412113
Andropogon chinensis,Ach,tropical,Panicoideae,C4,7.765257,2.371949
Andropogon chinensis,Ach,tropical,Panicoideae,C4,7.764663,2.402662
Andropogon chinensis,Ach,tropical,Panicoideae,C4,7.783017,2.385104
Andropogon chinensis,Ach,tropical,Panicoideae,C4,7.780849,2.386259
Andropogon chinensis,Ach,tropical,Panicoideae,C4,7.77782,2.410449
Andropogon chinensis,Ach,tropical,Panicoideae,C4,7.765432,2.404324
Andropogon chinensis,Ach,tropical,Panicoideae,C4,7.77782,2.410449
Andropogon chinensis,Ach,tropical,Panicoideae,C4,7.780733,2.394065
Andropogon chinensis,Ach,tropical,Panicoideae,C4,7.782654,2.398925
Andropogon chinensis,Ach,tropical,Panicoideae,C4,7.765432,2.404324
Andropogon chinensis,Ach,tropical,Panicoideae,C4,7.787771,2.406852
Andropogon chinensis,Ach,tropical,Panicoideae,C4,7.79303,2.426425
Andropogon chinensis,Ach,tropical,Panicoideae,C4,7.794435,2.426935
Andropogon chinensis,Ach,tropical,Panicoideae,C4,7.765257,2.371949
Andropogon chinensis,Ach,tropical,Panicoideae,C4,7.761058,2.380145
Andropogon chinensis,Ach,tropical,Panicoideae,C4,7.79303,2.426425
Andropogon chinensis,Ach,tropical,Panicoideae,C4,7.761586,2.392301
Andropogon chinensis,Ach,tropical,Panicoideae,C4,7.794435,2.426935
Andropogon chinensis,Ach,tropical,Panicoideae,C4,7.761586,2.392301
Andropogon chinensis,Ach,tropical,Panicoideae,C4,7.783017,2.385104
Andropogon chinensis,Ach,tropical,Panicoideae,C4,7.764663,2.402662
Andropogon chinensis,Ach,tropical,Panicoideae,C4,-17.9,14.283333
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.168942,1.596589
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.645833,1.179167
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.633333,1.166667
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.627638,1.170958
Andropogon chinensis,Ach,tropical,Panicoideae,C4,8.792658,2.166172
Andropogon chinensis,Ach,tropical,Panicoideae,C4,8.804101,2.160759
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.621363,2.401136
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.623374,2.401196
Andropogon chinensis,Ach,tropical,Panicoideae,C4,11.096427,1.114584
Andropogon chinensis,Ach,tropical,Panicoideae,C4,11.013399,1.026551
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.673734,1.279437
